active_power,reactive_power,v_mag_est,v_ang_est,result_f
"[0.0, 23.263621898879407, 98.66927673114814, 52.6319421483421, 6.562159520090944, 12.9063010012112, 0.0, 0.0, 33.344637656664204, 7.663931522904402, 3.269166395962799, 6.694160145351523, 11.668103438660864, 16.795083463749613]","[0.0, 12.737936087505048, 15.248532625047936, -3.567779487752864, 1.6748332277604754, 8.943558534082271, 0.0, 0.0, 17.489797868581423, 5.892766080940785, 2.0014886845088236, 1.3484676088492535, 6.405584733804704, 5.08253315735222]","[1.0599997205962088, 1.0571719539754734, 1.022984725221589, 1.0205476008561145, 1.0259663214435852, 1.032138031807108, 1.0228926296895033, 1.059998510045892, 1.002465062829309, 1.0001810557639779, 1.0122357887386138, 1.0152403255553573, 1.009459000278494, 0.9850025663819252]","[0.0, -0.04644804484518999, -0.1920155939272259, -0.151086919150101, -0.12685301684996225, -0.235894864432843, -0.2116751455812677, -0.2116751354286567, -0.2441090589597193, -0.24693015028307486, -0.24339550007144814, -0.252297874086984, -0.2518640820900609, -0.2695321362413874]",5687.65584677078
"[0.0, 17.70389140402374, 93.465501772675, 40.246265011355504, 6.815816848222084, 13.380248417836816, 0.0, 0.0, 30.89423766495381, 9.728873893958774, 3.58350815688168, 4.903840867702808, 12.562891064517556, 15.00556139457288]","[0.0, 11.941184810542639, 15.452343626814386, -3.2425824555618323, 1.5340308967690217, 6.398147262129181, 0.0, 0.0, 18.595895682084315, 5.1043485666479596, 1.5605874592265303, 1.3469234178140164, 6.116518178941238, 5.412951452973802]","[1.0599996915502616, 1.0583804693063381, 1.0255868304838842, 1.0236849280682645, 1.0283176559537865, 1.0300916504607955, 1.0239691623288407, 1.059998634222405, 1.0030714688091575, 1.0004366145991799, 1.0116537913193815, 1.0150447057074192, 1.0081735388823494, 0.9856778093480251]","[0.0, -0.03552983013130898, -0.17107128200846694, -0.1312366933956173, -0.11076159744938323, -0.2160517364350867, -0.19052903504533658, -0.19052902645436562, -0.22234818019823435, -0.22734375233614973, -0.22420404390669063, -0.22992798741838855, -0.23115642449028406, -0.24523285265024317]",5143.878203167444
"[0.0, 21.29889321920999, 84.25438145889477, 39.64525780894984, 6.596064031466124, 11.288587289530959, 0.0, 0.0, 28.68447277920931, 8.095371381315468, 3.6640029812456425, 6.604536409200487, 11.70202630266513, 12.919010529078374]","[0.0, 13.900922236533455, 20.24491440992572, -3.8604241661697096, 1.8202690873402863, 8.417010458850159, 0.0, 0.0, 14.646785634644143, 4.899653517002728, 1.6342197202922326, 1.3165355878971616, 5.872313304962394, 5.873211384589924]","[1.0599995884068871, 1.058681948173731, 1.0284533503629971, 1.0272438008600298, 1.031283292991218, 1.0324769726203136, 1.0282363270885642, 1.0599981803139458, 1.0101290572572252, 1.0072929848389727, 1.0162719426498932, 1.0166018993972954, 1.0119964144067701, 0.9923510177813778]","[0.0, -0.029806870772086456, -0.1530539766145126, -0.11939245218005684, -0.1005759323421235, -0.1973152060326038, -0.1733426795394289, -0.17334267041724022, -0.2021946978301806, -0.20636785385541087, -0.20441096638015183, -0.21253883285966413, -0.21145451995344824, -0.22154855477780735]",4843.327497956704
"[0.0, 20.322031143795037, 89.68577091585111, 45.86549157074874, 7.843724002451091, 11.350539409336415, 0.0, 0.0, 33.19323171684991, 9.78524307441538, 4.137733174336908, 4.924487501730322, 11.85720112269115, 11.965074734869727]","[0.0, 14.721995188665932, 17.050465453979875, -4.566173889882239, 1.318571129785319, 8.803308080416544, 0.0, 0.0, 16.506188480997206, 5.2357216371115785, 1.6451084894125845, 1.4766655775528237, 6.50302008297178, 5.078322553350509]","[1.0599996815206254, 1.0581134884607357, 1.0261831554121494, 1.024240841612102, 1.0289353497891993, 1.0312581962858514, 1.0252277308363642, 1.0599983780779634, 1.0054364202885893, 1.0023402096081433, 1.0128205481786416, 1.0163820256205973, 1.0102597906283033, 0.9908342451392805]","[0.0, -0.036520102317514715, -0.16913145672766844, -0.13360526747875467, -0.11229262060884923, -0.21206932399609443, -0.1918833380877117, -0.19188332909123204, -0.22310198038255163, -0.2274318968179011, -0.22277600581598048, -0.2251687145276127, -0.22595006788194963, -0.23885431264112886]",5194.396835124333
"[0.0, 23.009615563329646, 95.44184939725432, 44.44126135956598, 7.092325815696921, 11.959301559287892, 0.0, 0.0, 30.1818443249663, 9.830341836861287, 3.4512878571972054, 5.026747315945916, 13.836402805740715, 17.627446695652065]","[0.0, 13.665224845368982, 16.72709603380883, -3.955891187778007, 1.3418729277739008, 7.351112808774555, 0.0, 0.0, 17.69501385059513, 6.485443909032171, 2.107568030025206, 1.4301709323874903, 5.5664129246775955, 4.3048320266608355]","[1.059999735599573, 1.057562193014873, 1.0243804146620068, 1.0225556515836047, 1.0274216426309741, 1.031320909187384, 1.0236321021923795, 1.0599986990868933, 1.002996115343849, 0.99941711059774, 1.011256973134047, 1.0160581606496195, 1.0088507105311235, 0.985598494440131]","[0.0, -0.04148529835185915, -0.18092818762745852, -0.14077637092639672, -0.11885813634038776, -0.2268172170617054, -0.20123439286510617, -0.2012343844144457, -0.23364519249417628, -0.23811337456531675, -0.2345819351922653, -0.24206240982402352, -0.24453614976114713, -0.26227666845439934]",5435.136290907339
"[0.0, 22.700104723845175, 86.89963643123954, 50.16888838989613, 7.682206050291421, 10.868853559828864, 0.0, 0.0, 28.90745885609161, 7.900641042554755, 3.3148630912282058, 5.890476596170582, 15.268704636061122, 16.29234170814596]","[0.0, 10.216038823297529, 18.36277038616619, -3.870896876551105, 1.2922830571667565, 6.779439626235103, 0.0, 0.0, 16.83445927284521, 5.139268343079991, 1.4487269577436033, 1.4343689328637066, 6.904027111391325, 5.603074223765979]","[1.0599997099381255, 1.0577906058921012, 1.0264156113047642, 1.0232595838568472, 1.0280633077548398, 1.0318957732925491, 1.0250429715353413, 1.0599985840789943, 1.0055029202522283, 1.0033564850119425, 1.0143060329870601, 1.0149370018887323, 1.007545743568193, 0.9854987561753211]","[0.0, -0.03852435715571963, -0.1696480130124927, -0.13738685310954782, -0.11588523454805251, -0.22119200816459894, -0.19460823679151412, -0.1946082282396004, -0.22522987127059146, -0.22925779710216582, -0.2275054512588233, -0.23753837521380078, -0.2387725713348092, -0.25200092902652477]",5301.69820258976
"[0.0, 19.449212738706144, 79.93817185901861, 42.015635766121996, 8.776251696636178, 11.853232440695322, 0.0, 0.0, 33.76416595708855, 10.247451619285002, 4.086497147095376, 5.495468089223002, 14.877226415229904, 14.664815403753876]","[0.0, 13.860732639980997, 21.101000593397906, -4.143612466782471, 1.3935544124606125, 7.635080756690816, 0.0, 0.0, 13.56667360569216, 5.022370372492294, 1.5348447168872847, 1.7446271423905892, 6.537261965268113, 4.427022732621344]","[1.0599996395512898, 1.0585477267719152, 1.0288717816052393, 1.0254667004941962, 1.0297151627819616, 1.0353684031881827, 1.027966904493837, 1.0599981904365372, 1.0109330194432706, 1.0077318074829336, 1.0177615569912708, 1.019173236188202, 1.012608784003686, 0.99397113419444]","[0.0, -0.03346687870926113, -0.15666108908981635, -0.13013976991691292, -0.11074172418457796, -0.21897941885791739, -0.19341377259143877, -0.19341376311993794, -0.22716221947107687, -0.23231224697287264, -0.2286453407923744, -0.23426604124906514, -0.23625201168760082, -0.25009777353065565]",5069.058951701064
"[0.0, 23.74555583159617, 112.97773422928636, 56.08112689528882, 8.033398206586982, 10.847191278757442, 0.0, 0.0, 24.996367052895973, 8.675657602906638, 3.9757231998898646, 5.816552402716628, 13.888110264626809, 15.423105390738701]","[0.0, 12.000156043593623, 17.742285794438686, -3.160866865310021, 1.2954827288904676, 8.495091131027321, 0.0, 0.0, 15.263537808629456, 6.8223758486675905, 1.6266936663833573, 1.5549803601529186, 6.664734181124277, 5.683867133583618]","[1.059999653477883, 1.0572333374606921, 1.020536728459568, 1.0213017398107225, 1.0268548826051551, 1.03434564486073, 1.024867258010443, 1.059997836607054, 1.0059347243608017, 1.0026056707527005, 1.0146565979477096, 1.0175482772975915, 1.0107591821123887, 0.9877338844284664]","[0.0, -0.05201005018898639, -0.21200416412026463, -0.15853143048372637, -0.13276654529047416, -0.23556812600836402, -0.21094506078563385, -0.210945046075351, -0.23892991764399826, -0.24334152273659232, -0.24224142716430253, -0.25083633959486934, -0.2515137226082409, -0.263811012008398]",5935.0678890697955
"[0.0, 20.2262667630846, 103.87439673434777, 48.17065763371529, 6.702839073418166, 12.892678750121144, 0.0, 0.0, 26.417795294302163, 8.824461639051558, 4.178985518597225, 6.763710442196377, 10.946704074618024, 12.308619363912534]","[0.0, 14.778838645776725, 19.29413366444063, -3.896587512533493, 1.3475031679722438, 7.9703403141728835, 0.0, 0.0, 18.430062690144176, 6.877585837049883, 1.5867118505719362, 1.6149309639646348, 5.3061600627562155, 5.585708838067679]","[1.0599996413892312, 1.057802152005524, 1.022868386718622, 1.0227238253377329, 1.0276346792851896, 1.0281769322293735, 1.0232695057963732, 1.0599981821477198, 1.0017433654848336, 0.9979430730543905, 1.009197124148732, 1.011838977280154, 1.007977454062392, 0.9866650105791254]","[0.0, -0.04167479256149926, -0.18871393130680036, -0.1403931042620787, -0.11751187173943103, -0.21789411808758452, -0.19255878942911256, -0.19255877779590347, -0.2205668690061776, -0.2253323916309957, -0.22465895813206924, -0.23273274472237485, -0.23130178564885193, -0.2400186445473283]",5426.560766691584
"[0.0, 22.94021497930958, 101.51559360985046, 48.041958880133414, 7.008144457158063, 9.91264680614251, 0.0, 0.0, 31.307320928269142, 10.577897346414538, 4.019686275168273, 6.749198054746139, 15.057615653567812, 15.883310024716932]","[0.0, 14.768550755985617, 20.297565570484338, -3.9942873843294864, 1.351033260296628, 7.341166631419277, 0.0, 0.0, 16.909744182046918, 5.52252927361135, 2.1432962365276746, 1.3508611797288421, 5.620312353683712, 4.084049350342811]","[1.05999967882267, 1.0573977103829222, 1.0229352069725546, 1.021967280396093, 1.0271322060993935, 1.0342837906451592, 1.0245527185036132, 1.0599981796362545, 1.005327859583946, 1.0022357460457194, 1.0138453028579422, 1.017534753826647, 1.0113812357523764, 0.989784549047143]","[0.0, -0.04640985700932748, -0.19394610150592484, -0.15013056732470395, -0.12649133270289575, -0.23627274429156356, -0.21147368543893974, -0.2114736735817019, -0.24426337051178695, -0.24945171221643225, -0.24549924658007763, -0.2541744532818034, -0.2552546272659812, -0.27028060747694604]",5679.676814716894
"[0.0, 21.8438504149111, 75.56745851236465, 38.386536304253184, 6.745969179669648, 9.124511704003679, 0.0, 0.0, 33.070511019041795, 9.259375116129485, 3.5177348163389834, 5.596112728627817, 15.831470084937209, 14.286209645773663]","[0.0, 13.29469790187843, 16.06517179042217, -3.65854810277064, 1.6047436407793978, 8.622667574055528, 0.0, 0.0, 19.87230381095383, 4.945054758163318, 1.6378066983740542, 1.5325286883824938, 5.618641374210089, 4.822042150531091]","[1.0599996394311755, 1.0585094343661188, 1.029698074501632, 1.0247701091629264, 1.0290593175131055, 1.0287828484937462, 1.023677599374564, 1.0599987620140552, 1.0019591442957003, 0.9994870485510683, 1.0104643098076769, 1.012750535553803, 1.0058884790893075, 0.9855118870213543]","[0.0, -0.028682541409447895, -0.14464226224485222, -0.11882704182878992, -0.10073416507628882, -0.20448526455027283, -0.17978629348429237, -0.17978628603413652, -0.21257026184073954, -0.21694902807752997, -0.21314528503846672, -0.22077606973722608, -0.2230449241601654, -0.23554696671483094]",4810.426500310788
"[0.0, 17.58088655598192, 99.69458751527473, 50.417572309734695, 7.115436666407127, 9.281269262037476, 0.0, 0.0, 31.590023548873113, 9.380805298029685, 3.3104312194765564, 5.411657832382176, 16.135394217240197, 14.625849662328845]","[0.0, 10.874009075298073, 18.890481717411426, -3.162957282996366, 1.6034912754626882, 8.892052221353108, 0.0, 0.0, 13.485546451704444, 5.5401292830767375, 1.5552179542534998, 1.2949453416500392, 6.394415584364411, 4.917046017763782]","[1.0599996212219287, 1.0582326816970984, 1.0242212661460188, 1.023537874246489, 1.0287728656711737, 1.0375958844831652, 1.0273389305253784, 1.059997761770065, 1.0103647402228444, 1.00762694066582, 1.0191196698807399, 1.021712896306444, 1.0140034456597875, 0.9935358508728436]","[0.0, -0.04260134548829323, -0.187925885388815, -0.14593849837941217, -0.12245609584462464, -0.22698059272991727, -0.2046623125876834, -0.20466229920959783, -0.23594455811465695, -0.2399318987119573, -0.23567782372034635, -0.2431179455755995, -0.2453273872118196, -0.25859255019582356]",5500.120368577624
"[0.0, 18.308413345487516, 107.53728691488031, 46.63654449403727, 8.654785316789463, 12.961044119275458, 0.0, 0.0, 28.890164853359185, 9.037556960415236, 3.6772295155304944, 7.140373560421412, 10.903226909920727, 14.761987071174191]","[0.0, 13.831351345107002, 20.46324647968202, -3.3297188018766706, 1.4716131765578762, 7.076146576251041, 0.0, 0.0, 14.679080960078231, 6.861279404168384, 1.4463815652816978, 1.9186053476364664, 6.210225413349158, 5.656938598898234]","[1.0599996241113339, 1.0580143335401513, 1.022434023466877, 1.0229851943945554, 1.0279307966670312, 1.0337455590099056, 1.0256145577340323, 1.0599978308240823, 1.0068253597263812, 1.0032063875729154, 1.0149584007939008, 1.0160804978357711, 1.0119917640430942, 0.9893493345813856]","[0.0, -0.04467642145966245, -0.19700941540334582, -0.14703559539854077, -0.12383355084956366, -0.22814290986308366, -0.20317678015104418, -0.20317676637891502, -0.23317327344681502, -0.23745869899811628, -0.2354048950883354, -0.2436056211230421, -0.24232400243494526, -0.25551579552471193]",5588.007948330948
"[0.0, 19.70701372581768, 107.11338447340972, 44.231212184227935, 8.478354714199062, 12.95558720875209, 0.0, 0.0, 28.052353036765677, 10.67068229936439, 2.9250053343358022, 6.556327010267912, 13.466595818467415, 14.230386880515658]","[0.0, 13.735594025502403, 15.23316084934235, -3.38044681844563, 1.7363494724059643, 7.99915624073462, 0.0, 0.0, 19.59313077933609, 6.269893963560752, 1.6545975902203993, 1.3474335502405483, 6.45383136296025, 5.288298442951832]","[1.059999673934743, 1.0576766651574654, 1.0219492892783852, 1.0214264085409495, 1.0262877499270926, 1.0292855849661382, 1.0221963938000895, 1.0599983670754103, 1.000338817447617, 0.9970402764984893, 1.0097438644843018, 1.0123300681150649, 1.0063256432530856, 0.9840916257254793]","[0.0, -0.04464294348324602, -0.19623914749957794, -0.1457725054126832, -0.123069808128129, -0.23044304027303053, -0.20286772686547774, -0.20286771529074415, -0.2335246442581152, -0.23920077346008872, -0.2366202066932842, -0.24667193747145116, -0.24623338122445462, -0.2570828075980395]",5584.466043026624
"[0.0, 19.98930852627211, 77.83538228540051, 42.60386014999953, 6.829675050333194, 11.128665272301703, 0.0, 0.0, 24.282564503476497, 10.648043283557534, 4.119814046731757, 6.795862485282116, 16.15317066844679, 15.165114703489568]","[0.0, 10.544073606333093, 17.979173686786424, -3.4715947780905547, 1.405333173845933, 6.422408846678028, 0.0, 0.0, 17.119901372151197, 4.980953486244647, 2.0240091143520993, 1.6870110125847864, 5.54054443821463, 5.348260591072126]","[1.0599996197368793, 1.0587350913357527, 1.029584188108857, 1.0256038379520795, 1.0297041292242493, 1.0306826300666536, 1.0262624379997725, 1.059998532127496, 1.0068517287186232, 1.0033487440983908, 1.0128292404479198, 1.0133064370546143, 1.0076070052144757, 0.9875889930204526]","[0.0, -0.029631481439545027, -0.148460169566674, -0.12155831510612926, -0.10316980893863277, -0.20940650169582203, -0.1778407168890107, -0.1778407084677447, -0.20798881413732787, -0.21512452707005777, -0.21506759311447093, -0.22679210387288237, -0.22764355392728144, -0.23582359891121993]",4863.19226657157
"[0.0, 19.44666256391564, 82.57922219528825, 55.796731337234355, 6.3894831961665925, 11.226691426652495, 0.0, 0.0, 24.025022055838832, 7.83079837958098, 4.013478496308401, 5.569248135303945, 15.932479521106597, 15.386468866215594]","[0.0, 13.10685128012083, 19.126907727719637, -4.303690955861427, 1.4607974822226257, 7.059151174800908, 0.0, 0.0, 19.206586630510195, 5.613119345980968, 2.001863162164955, 1.5848548693127034, 5.794292456978957, 4.409360218114568]","[1.0599997042908824, 1.0582579610000147, 1.0276362484555146, 1.0232129319424925, 1.0279601545413781, 1.0286672023487147, 1.0240574873200512, 1.059998686463956, 1.0032047531349013, 1.000315798971161, 1.0103701182441152, 1.012509878119806, 1.005746583269278, 0.9859513103861561]","[0.0, -0.03504820264986336, -0.1618304099356646, -0.13324722147187532, -0.11169044914240911, -0.2151075588083081, -0.18597190014033282, -0.18597189212487508, -0.2142521813237041, -0.21916933440676625, -0.2198401550428944, -0.23095965354906806, -0.23290321408635412, -0.24276969148262936]",5137.530903981286
